RazaoSocial;Municipio;UF;DescNaturezaJuridica;DataAbertura;IdadeEmp;PorteEmpresa;DS_ITCP_TP_MATERIAL_SERVICO;ANO_EMPENHO;VL_EMPENHADO
DUOTECK DO BRASIL TECNOLOGIA LTDA;RIO DE JANEIRO;RJ;Sociedade Empresária Limitada;04/10/2001;20;NÃO INFORMADO;Serviço;2018;3555.52
DUOWARE SOFTWARES LTDA;RIO DE JANEIRO;RJ;Sociedade Empresária Limitada;14/03/2014;7;NÃO INFORMADO;Serviço;2018;132981.80
DUOWARE SOFTWARES LTDA;RIO DE JANEIRO;RJ;Sociedade Empresária Limitada;14/03/2014;7;NÃO INFORMADO;Serviço;2019;262329.11
DWH TECNOLOGIA E COMERCIO LTDA;RECIFE;PE;Sociedade Empresária Limitada;26/03/2003;18;DEMAIS;Material;2019;3152.00
E & F IMPERIUM ARTIGOS PERSONALIZADOS EIRELI;FAZENDA RIO GRANDE;PR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);27/06/2019;2;NÃO INFORMADO;Material;2019;230.76
E DO BRASIL TECNOLOGIA LTDA.;SÃO PAULO;SP;Sociedade Empresária Limitada;30/03/2011;10;DEMAIS;Serviço;2020;67014.86
E M S DE ALEXANDRIA COMERCIO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;RIO DE JANEIRO;RJ;Empresário (Individual);03/10/2014;7;EMPRESA DE PEQUENO PORTE;Material;2018;50412.74
E S ASSISTENCIA TECNICA LTDA;BAGÉ;RS;Sociedade Empresária Limitada;21/09/2010;11;NÃO INFORMADO;Serviço;2019;1084.00
E S CASTRO ATACADO E VAREJO;BELO HORIZONTE;MG;Empresário (Individual);25/11/2011;10;EMPRESA DE PEQUENO PORTE;Material;2018;1189.53
E&M COMERCIO DE MATERIAIS DE CONSTRUCAO EIRELI;RECIFE;PE;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);02/05/2016;5;NÃO INFORMADO;Material;2019;913.36
E. MIRANDA DA S. JUNIOR EIRELI;MANAUS;AM;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);25/08/2005;16;NÃO INFORMADO;Serviço;2020;3000.00
E. THEODOROVICZ & CIA LTDA;GUARAPUAVA;PR;Sociedade Empresária Limitada;19/06/2006;15;EMPRESA DE PEQUENO PORTE;Material;2019;4095.00
E. W. DE AGUIAR LIMA COMERCIO;MONTE ALEGRE;PA;Empresário (Individual);16/02/1996;25;EMPRESA DE PEQUENO PORTE;Serviço;2019;3900.00
E.C.S. COMERCIO E SERVICOS DE APOIO ADMINISTRATIVO LTDA;JACAREÍ;SP;Sociedade Empresária Limitada;07/07/2000;21;NÃO INFORMADO;Material;2018;13590.00
EAGLE VISION INFRAESTRUTURA EM TELECOMUNICACOES LTDA;BOA VISTA;RR;Sociedade Empresária Limitada;26/03/2002;19;NÃO INFORMADO;Serviço;2018;34500.00
EAGLE VISION INFRAESTRUTURA EM TELECOMUNICACOES LTDA;BOA VISTA;RR;Sociedade Empresária Limitada;26/03/2002;19;NÃO INFORMADO;Serviço;2019;141770.85
EAM SISTEMAS DE INFORMATICA LTDA;ITAÚNA;MG;Sociedade Empresária Limitada;10/08/2005;16;EMPRESA DE PEQUENO PORTE;Material;2018;3896.75
EASY FIBRA TELECOMUNICACOES LIMITADA;TRÊS RIOS;RJ;Sociedade Empresária Limitada;06/11/1998;23;EMPRESA DE PEQUENO PORTE;Serviço;2020;2278.80
EASYTECH COM. E SERVICOS LTDA;BOA VISTA;RR;Sociedade Empresária Limitada;27/07/2007;14;EMPRESA DE PEQUENO PORTE;Material;2020;3192.00
EBSCO BRASIL LTDA;RIO DE JANEIRO;RJ;Sociedade Empresária Limitada;12/09/1974;47;DEMAIS;Serviço;2018;183600.00
ECC COMERCIO E LICITACOES EIRELI;SÃO PAULO;SP;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);14/03/2017;4;EMPRESA DE PEQUENO PORTE;Material;2019;2784.91
ECO SUPRIMENTOS EIRELI;BELO HORIZONTE;MG;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);22/12/2009;12;NÃO INFORMADO;Material;2018;382.60
ECO SUPRIMENTOS EIRELI;BELO HORIZONTE;MG;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);22/12/2009;12;NÃO INFORMADO;Material;2019;1420.00
ECOVOLTS COMERCIO ATACADISTA DE PECAS  E ACESSORIOS LTDA;CRICIÚMA;SC;Sociedade Empresária Limitada;17/07/2015;6;NÃO INFORMADO;Material;2019;6851.80
ED PEL COMERCIO E SERVICO LTDA;RIO DE JANEIRO;RJ;Sociedade Empresária Limitada;20/10/2014;7;NÃO INFORMADO;Material;2020;20282.31
EDATEL TELECOMUNICACOES LTDA;RIO DE JANEIRO;RJ;Sociedade Empresária Limitada;01/11/1994;27;NÃO INFORMADO;Serviço;2020;115259.13
EDEN CHAVES DE SOUSA;PAULO AFONSO;BA;Empresário (Individual);04/07/2007;14;NÃO INFORMADO;Material;2019;225.00
EDER CARLOS DOS SANTOS BATISTA;GARUVA;SC;Empresário (Individual);24/03/2014;7;NÃO INFORMADO;Material;2020;4572.00
EDER JUNIOR ALVES;BELO HORIZONTE;MG;Empresário (Individual);09/03/2018;3;NÃO INFORMADO;Serviço;2018;3400.00
EDERSON EBERMAN;COLATINA;ES;Empresário (Individual);10/05/2011;10;EMPRESA DE PEQUENO PORTE;Material;2018;25721.01
EDERSON EBERMAN;COLATINA;ES;Empresário (Individual);10/05/2011;10;EMPRESA DE PEQUENO PORTE;Material;2019;645.00
EDERSON F. DE SOUZA;CASTRO;PR;Empresário (Individual);26/05/2011;10;NÃO INFORMADO;Serviço;2018;199.00
EDILSON DE OLIVEIRA CHAVES 06262182330;SÃO LUÍS;MA;Empresário (Individual);12/12/2017;4;NÃO INFORMADO;Material;2020;11503.48
EDIMILSON LINHARES MENDONCA INFORMATICA;CABO FRIO;RJ;Empresário (Individual);23/10/2007;14;NÃO INFORMADO;Material;2020;700.00
EDITORA NEGOCIOS PUBLICOS DO BRASIL LTDA;SÃO JOSÉ DOS PINHAIS;PR;Sociedade Empresária Limitada;30/01/2004;17;NÃO INFORMADO;Serviço;2020;17970.00
EDITORA REVISTA DOS TRIBUNAIS LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;23/08/1966;55;DEMAIS;Serviço;2019;15750.00
EDSANDRO PRESTES TRINDADE 13511158710;PETRÓPOLIS;RJ;Empresário (Individual);04/05/2019;2;NÃO INFORMADO;Material;2019;4435.00
EDUARDO BECKER AMBROSI 83888454034;ESTEIO;RS;Empresário (Individual);02/07/2017;4;NÃO INFORMADO;Material;2019;2900.00
EDUARDO DE OLIVEIRA NOGUEIRA 29734529889;SÃO PAULO;SP;Empresário (Individual);15/07/2019;2;NÃO INFORMADO;Material;2020;10976.82
EDUARDO RITA BEM;PORTO ALEGRE;RS;Empresário (Individual);18/07/2013;8;EMPRESA DE PEQUENO PORTE;Material;2019;117.80
EFES COMERCIO E SERVICOS DE INFORMATICA EIRELI;SÃO PAULO;SP;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);16/10/2008;13;EMPRESA DE PEQUENO PORTE;Material;2020;1076552.73
EFICIENTE COMERCIO E SERVICOS EIRELI;CAMARAGIBE;PE;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);02/08/2017;4;EMPRESA DE PEQUENO PORTE;Material;2019;2300.00
EGC COMERCIO E ATACADISTA DE INFORMATICA E ELETROELETRONICOS EIRELI;CONDE;PB;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);15/10/2018;3;EMPRESA DE PEQUENO PORTE;Material;2019;105199.08
EHP COMERCIO E MANUTENCAO DE INFORMATICA EIRELI;CURITIBA;PR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);06/06/2017;4;EMPRESA DE PEQUENO PORTE;Serviço;2018;1950.00
EHP COMERCIO E MANUTENCAO DE INFORMATICA EIRELI;CURITIBA;PR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);06/06/2017;4;EMPRESA DE PEQUENO PORTE;Serviço;2019;750.00
ELBA OLIVEIRA DA SILVA IVO;BRASÍLIA;DF;Empresário (Individual);13/01/2009;12;NÃO INFORMADO;Serviço;2018;660.00
ELCMAR - COMERCIAL LTDA;VITÓRIA;ES;Sociedade Empresária Limitada;29/02/2000;21;NÃO INFORMADO;Serviço;2018;28815.59
ELECTROMAGNETICS TECNOLOGIA E INFORMATICA LTDA.;SÃO BERNARDO DO CAMPO;SP;Sociedade Empresária Limitada;31/08/1994;27;EMPRESA DE PEQUENO PORTE;Serviço;2019;15500.00
ELETRO ELETRONICA SANTOS MAIA EIRELI;ITAJUBÁ;MG;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);02/12/2010;11;EMPRESA DE PEQUENO PORTE;Material;2020;520.80
ELETROMIL COMERCIAL LTDA;VITÓRIA;ES;Sociedade Empresária Limitada;08/06/1984;37;DEMAIS;Material;2018;743.35
ELETROMIL COMERCIAL LTDA;VITÓRIA;ES;Sociedade Empresária Limitada;08/06/1984;37;DEMAIS;Material;2019;1275.00
ELETRONICA DO PROFESSOR COMERCIO DE PECAS E EQUIPAMENTOS ELETRONICOS EIRELI;PELOTAS;RS;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);19/02/2003;18;EMPRESA DE PEQUENO PORTE;Material;2019;600.00
ELETRONICA ELETRON LTDA;CASCAVEL;PR;Sociedade Empresária Limitada;26/02/1981;40;EMPRESA DE PEQUENO PORTE;Material;2020;860.00
ELETRONICA GOOD LTDA;OURO BRANCO;MG;Sociedade Empresária Limitada;10/02/1988;33;NÃO INFORMADO;Material;2020;2721.85
ELETRONICA SAO PAULO LTDA;BARREIRAS;BA;Sociedade Empresária Limitada;07/02/2007;14;NÃO INFORMADO;Material;2018;4885.00
ELISANGELA DIAS DE ARAUJO MOKARZEL 29381194882;GUARATINGUETÁ;SP;Empresário (Individual);04/10/2013;8;NÃO INFORMADO;Material;2018;4473.30
ELISANGELA SIMONETTI 90911520015;PORTO ALEGRE;RS;Empresário (Individual);05/04/2019;2;NÃO INFORMADO;Material;2020;58556.87
ELITE COMERCIO E SERVICOS LTDA;BRASÍLIA;DF;Sociedade Empresária Limitada;30/03/2012;9;EMPRESA DE PEQUENO PORTE;Material;2020;36707.43
ELITE SOLUCOES EM TECNOLOGIA LTDA;BENTO GONÇALVES;RS;Sociedade Empresária Limitada;08/12/2014;7;NÃO INFORMADO;Material;2019;16481.00
ELMO PAPELARIA EIRELI;SANTO AMARO DA IMPERATRIZ;SC;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);11/08/2000;21;NÃO INFORMADO;Material;2020;802.78
ELOGROUP DESENVOLVIMENTO E CONSULTORIA LTDA;RIO DE JANEIRO;RJ;Sociedade Empresária Limitada;18/01/2007;14;DEMAIS;Serviço;2018;1601045.34
HC COMUNICACAO DE DADOS LTDA;BRASÍLIA;DF;Sociedade Empresária Limitada;12/07/2002;19;EMPRESA DE PEQUENO PORTE;Serviço;2020;5199562.32
HD COMERCIO E SERVICOS DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA EIRELI;SÃO MIGUEL DO OESTE;SC;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);24/11/2010;11;NÃO INFORMADO;Serviço;2020;1770.00
HECARDYSON DE ANGELIS CAMARA DE SOUZA 05328388402;NATAL;RN;Empresário (Individual);24/07/2019;2;NÃO INFORMADO;Material;2020;780.00
HELAIS DE FATIMA DIANA 05803034894;SOROCABA;SP;Empresário (Individual);31/10/2013;8;NÃO INFORMADO;Material;2019;235.00
HELBERTH RAMOS VIEIRA 10592764613;LEME DO PRADO;MG;Empresário (Individual);05/07/2020;1;NÃO INFORMADO;Material;2020;33276.99
HELDER SANTOS VAZ DE FIGUEIREDO;JOÃO PESSOA;PB;Empresário (Individual);25/10/2001;20;NÃO INFORMADO;Serviço;2020;450.00
HELIO COSME DOS REIS DA SILVA EIRELI;CONTAGEM;MG;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);05/05/2012;9;NÃO INFORMADO;Material;2020;0.00
HELP CENTER INFORMATICA EIRELI;RIO DE JANEIRO;RJ;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);19/06/1996;25;NÃO INFORMADO;Material;2020;3136645.54
HENRIQUE JUNIOR CORDEIRO;JOÃO PESSOA;PB;Empresário (Individual);01/10/1999;22;NÃO INFORMADO;Material;2020;4615.00
HENRY EQUIPAMENTOS ELETRONICOS E SISTEMAS LTDA;PINHAIS;PR;Sociedade Empresária Limitada;12/06/1996;25;DEMAIS;Serviço;2018;63026.40
HEWLETT-PACKARD BRASIL LTDA;BARUERI;SP;Sociedade Empresária Limitada;22/10/1970;51;DEMAIS;Serviço;2020;213917.85
HEWLETT-PACKARD BRASIL LTDA;CAJAMAR;SP;Sociedade Empresária Limitada;27/06/2003;18;DEMAIS;Serviço;2020;19975.00
HIGH SOLUTIONS DO BRASIL EIRELI;SÃO JOSÉ DOS CAMPOS;SP;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);16/03/2009;12;EMPRESA DE PEQUENO PORTE;Material;2020;40300.00
HIGH TECNOLOGY SCANNERS COMERCIO E ASSISTENCIA TECNICA LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;07/03/2012;9;NÃO INFORMADO;Material;2019;1650.76
HIPER MAQUINAS E FERRAMENTAS LTDA;GOIÂNIA;GO;Sociedade Empresária Limitada;12/11/2019;2;NÃO INFORMADO;Material;2020;1167.00
HOINASKI & SKLASKY LTDA;PALMEIRA;PR;Sociedade Empresária Limitada;14/02/2008;13;DEMAIS;Serviço;2019;15677.48
HOLANDA PAPELARIA EIRELI;PORTO VELHO;RO;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);11/08/2003;18;EMPRESA DE PEQUENO PORTE;Material;2018;337.34
HOME ARTES GRAFICA LTDA;SANTA MARIA;RS;Sociedade Empresária Limitada;23/06/1994;27;NÃO INFORMADO;Material;2019;1995.00
HOMERSYS - HOMER SISTEMAS SOLUCOES EM TECNOLOGIA EIRELI;CONTAGEM;MG;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);11/11/2015;6;NÃO INFORMADO;Material;2018;1161.00
HOMINUS GESTAO E TECNOLOGIA LTDA;GOIÂNIA;GO;Sociedade Empresária Limitada;26/07/2006;15;DEMAIS;Serviço;2018;10000.00
HORIZONS TELECOMUNICACOES E TECNOLOGIA S.A.;CURITIBA;PR;Sociedade Anônima Fechada;30/04/2010;11;DEMAIS;Serviço;2018;20640.00
HORIZONS TELECOMUNICACOES E TECNOLOGIA S.A.;CURITIBA;PR;Sociedade Anônima Fechada;30/04/2010;11;DEMAIS;Serviço;2019;1720.00
HORIZONTE DIGITAL INFORMATICA LTDA;BELO HORIZONTE;MG;Sociedade Empresária Limitada;09/12/2005;16;NÃO INFORMADO;Serviço;2020;9500.00
HOST SERVER DO BRASIL INFORMATICA EIRELI;FLORIANÓPOLIS;SC;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);07/03/2014;7;NÃO INFORMADO;Material;2020;1610.00
HOTSOFT INFORMATICA LTDA;MARINGÁ;PR;Sociedade Empresária Limitada;09/04/1990;31;EMPRESA DE PEQUENO PORTE;Material;2018;7960.00
HR COMERCIO E SERVICOS EIRELI;GOIÂNIA;GO;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);21/11/2017;4;EMPRESA DE PEQUENO PORTE;Material;2020;332466.99
HUGHES TELECOMUNICACOES DO BRASIL LTDA.;BARUERI;SP;Sociedade Empresária Limitada;12/01/2007;14;DEMAIS;Serviço;2018;1226643.51
HUGHES TELECOMUNICACOES DO BRASIL LTDA.;BARUERI;SP;Sociedade Empresária Limitada;12/01/2007;14;DEMAIS;Serviço;2019;1101070.70
HUGO F. MADUREIRA FERREIRA;RECIFE;PE;Empresário (Individual);15/04/2003;18;NÃO INFORMADO;Serviço;2019;17593.59
HZ TELECOMUNICACOES E INFORMATICA LTDA;SETE LAGOAS;MG;Sociedade Empresária Limitada;22/04/2004;17;NÃO INFORMADO;Serviço;2020;2992.80
I & T TECNOLOGIA E SERVICOS LTDA;BELO HORIZONTE;MG;Sociedade Empresária Limitada;27/08/2001;20;NÃO INFORMADO;Serviço;2018;4359.90
I B COMERCIO DE MATERIAL DE CONSTRUCAO E SERVICO DE CONSTRUCAO LTDA;MANAUS;AM;Sociedade Empresária Limitada;02/12/2010;11;EMPRESA DE PEQUENO PORTE;Material;2020;25338.00
I. O. SILVA DISTRIBUIDORA E COMERCIO DE VARIADOS LTDA;CAMPINAS;SP;Sociedade Empresária Limitada;24/10/2017;4;NÃO INFORMADO;Material;2019;11191.33
I9 SOLUCOES TECNOLOGICAS EIRELI;CANOINHAS;SC;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);24/08/2005;16;NÃO INFORMADO;Serviço;2019;2640.00
IBM BRASIL-INDUSTRIA MAQUINAS E SERVICOS LIMITADA;RIO DE JANEIRO;RJ;Sociedade Empresária Limitada;31/05/1960;61;DEMAIS;Material;2018;111170.13
IBM BRASIL-INDUSTRIA MAQUINAS E SERVICOS LIMITADA;RIO DE JANEIRO;RJ;Sociedade Empresária Limitada;31/05/1960;61;DEMAIS;Material;2019;38565279.33
IBM BRASIL-INDUSTRIA MAQUINAS E SERVICOS LIMITADA;RIO DE JANEIRO;RJ;Sociedade Empresária Limitada;31/05/1960;61;DEMAIS;Serviço;2019;75193974.28
ICARA BRINDES LTDA;IÇARA;SC;Sociedade Empresária Limitada;30/05/2001;20;NÃO INFORMADO;Material;2019;1445.00
ICMSC JUNIOR;SÃO CARLOS;SP;Associação Privada;22/03/1993;28;DEMAIS;Material;2018;2867.00
ICT COMERCIO, IMPORTACAO E MANUTENCAO DE ELETROELETRONICOS LTDA;CURITIBA;PR;Sociedade Empresária Limitada;17/11/2016;5;NÃO INFORMADO;Material;2020;128097.15
IDATA DISTRIBUIDORA LTDA;VITÓRIA;ES;Sociedade Empresária Limitada;28/03/2019;2;DEMAIS;Material;2020;93274.00
IDEALNET PRODUTOS ELETRONICOS E TELEINFORMATICA LTDA;CAMPO GRANDE;MS;Sociedade Empresária Limitada;11/06/2003;18;EMPRESA DE PEQUENO PORTE;Serviço;2020;19378.70
IDEALPRINT SUPRIMENTOS PARA INFORMATICA EIRELI -;MARINGÁ;PR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);08/02/2018;3;EMPRESA DE PEQUENO PORTE;Material;2019;21760.10
ALEA COMERCIAL LTDA;FEIRA DE SANTANA;BA;Sociedade Empresária Limitada;28/05/2010;11;EMPRESA DE PEQUENO PORTE;Material;2018;4960.00
ALEANDRO MURER;FRANCISCO BELTRÃO;PR;Empresário (Individual);06/07/2012;9;NÃO INFORMADO;Material;2018;641.00
ALELI INFORMATICA LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;27/04/2016;5;EMPRESA DE PEQUENO PORTE;Material;2020;813700.00
ALESSANDRA CRISTINA BUENO SIGILO 24573916873;OSASCO;SP;Empresário (Individual);23/10/2018;3;NÃO INFORMADO;Serviço;2018;16580.00
ALESSANDRA MILANI;PINHAIS;PR;Empresário (Individual);10/12/1985;36;EMPRESA DE PEQUENO PORTE;Material;2018;864069.29
ALESSANDRA MILANI;PINHAIS;PR;Empresário (Individual);10/12/1985;36;EMPRESA DE PEQUENO PORTE;Material;2019;901478.77
ALEX SANTANA DOS SANTOS;SALVADOR;BA;Empresário (Individual);22/07/2013;8;NÃO INFORMADO;Material;2020;2428.38
ALEXANDRE CAIO PAIVA MEDEIROS 80669379468;NATAL;RN;Empresário (Individual);04/01/2013;8;NÃO INFORMADO;Material;2018;1800.00
ALFA BRINDES LTDA;VILA VELHA;ES;Sociedade Empresária Limitada;17/01/1995;26;NÃO INFORMADO;Material;2020;2690.00
ALFAPRINT LOCACOES EIRELI;JOÃO PESSOA;PB;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);26/10/2007;14;NÃO INFORMADO;Serviço;2018;123295.05
ALFAPRINT LOCACOES EIRELI;JOÃO PESSOA;PB;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);26/10/2007;14;NÃO INFORMADO;Serviço;2019;207596.37
ALFATEK INFORMATICA LTDA;PORTO ALEGRE;RS;Sociedade Empresária Limitada;02/03/1993;28;EMPRESA DE PEQUENO PORTE;Serviço;2020;80357.85
ALGAR SOLUCOES EM TIC S/A;UBERLÂNDIA;MG;Sociedade Anônima Fechada;24/07/1986;35;DEMAIS;Serviço;2018;17947.00
ALGAR SOLUCOES EM TIC S/A;UBERLÂNDIA;MG;Sociedade Anônima Fechada;24/07/1986;35;DEMAIS;Serviço;2019;119117.01
ALGAR TELECOM S/A;UBERLÂNDIA;MG;Sociedade Anônima Aberta;30/04/1993;28;DEMAIS;Serviço;2018;999851.20
ALGAR TELECOM S/A;UBERLÂNDIA;MG;Sociedade Anônima Aberta;30/04/1993;28;DEMAIS;Serviço;2019;695983.80
ALGAR TI CONSULTORIA S/A;UBERLÂNDIA;MG;Sociedade Anônima Fechada;11/02/2003;18;DEMAIS;Serviço;2018;1112732.98
ALGAR TI CONSULTORIA S/A;UBERLÂNDIA;MG;Sociedade Anônima Fechada;11/02/2003;18;DEMAIS;Serviço;2019;10387174.93
ALIADAS EMPORIO DO PAPEL LTDA;RIBEIRÃO PRETO;SP;Sociedade Empresária Limitada;19/04/2011;10;NÃO INFORMADO;Material;2018;3900.00
ALIMAC SUED SUPRIMENTOS EIRELI;RIO DE JANEIRO;RJ;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);18/08/2014;7;NÃO INFORMADO;Material;2018;26501.00
ALIMAC SUED SUPRIMENTOS EIRELI;RIO DE JANEIRO;RJ;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);18/08/2014;7;NÃO INFORMADO;Material;2019;29694.00
ALINE LYS LIBORIO DA SILVA 05430684716;RIO DE JANEIRO;RJ;Empresário (Individual);28/11/2014;7;NÃO INFORMADO;Serviço;2019;20100.00
ALKANSE EQUIPAMENTOS ELETRONICOS LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;19/07/1995;26;DEMAIS;Material;2018;5036.00
ALKANSE EQUIPAMENTOS ELETRONICOS LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;19/07/1995;26;DEMAIS;Material;2019;6716.27
ALL NATIONS COMERCIO EXTERIOR S.A.;CARIACICA;ES;Sociedade Anônima Fechada;26/02/2003;18;DEMAIS;Material;2018;1575.34
ALL SOLUTIONS AUTOMACAO LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;24/03/2016;5;EMPRESA DE PEQUENO PORTE;Material;2018;29000.00
ALLISON LISBOA DE SOUZA 07666105436;JOÃO PESSOA;PB;Empresário (Individual);17/03/2016;5;NÃO INFORMADO;Material;2019;17196.25
ALLYSON TEIXEIRA LASMAR;POUSO ALEGRE;MG;Empresário (Individual);30/07/1997;24;NÃO INFORMADO;Serviço;2020;770.20
ALMAQ EQUIPAMENTOS PARA ESCRITORIO LIMITADA;PINHAIS;PR;Sociedade Empresária Limitada;10/02/1992;29;DEMAIS;Material;2020;2513.28
ALMEIDA PEREIRA SERVICOS DE TI E ALIMENTACAO LTDA;BRASÍLIA;DF;Sociedade Empresária Limitada;08/01/2018;3;NÃO INFORMADO;Material;2018;48970.00
ALMEIDA PEREIRA SERVICOS DE TI E ALIMENTACAO LTDA;BRASÍLIA;DF;Sociedade Empresária Limitada;08/01/2018;3;NÃO INFORMADO;Serviço;2019;7700.00
ALMORIM ALIMENTOS, COMERCIO E SERVICOS LTDA;RECIFE;PE;Sociedade Empresária Limitada;30/10/2017;4;NÃO INFORMADO;Material;2018;14765.00
ALPHA ELETRONICOS DO BRASIL LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;10/05/1989;32;EMPRESA DE PEQUENO PORTE;Material;2020;605713.55
ALPHA POINT INFORMATICA LTDA;RIO DE JANEIRO;RJ;Sociedade Empresária Limitada;30/10/2000;21;NÃO INFORMADO;Material;2018;58833.70
ALPHA POINT INFORMATICA LTDA;RIO DE JANEIRO;RJ;Sociedade Empresária Limitada;30/10/2000;21;NÃO INFORMADO;Serviço;2019;3495.00
ALT TRINDADE  LTDA;LENÇÓIS PAULISTA;SP;Sociedade Empresária Limitada;05/07/2018;3;NÃO INFORMADO;Material;2020;1137454.95
ALTA REDE CORPORATE LTDA;NOVA FRIBURGO;RJ;Sociedade Empresária Limitada;20/07/1999;22;DEMAIS;Serviço;2018;40156.06
ALTA REDE CORPORATE LTDA;NOVA FRIBURGO;RJ;Sociedade Empresária Limitada;20/07/1999;22;DEMAIS;Serviço;2019;31070.00
ALTAS NETWORKS & TELECOM LTDA;BELO HORIZONTE;MG;Sociedade Empresária Limitada;19/11/2002;19;DEMAIS;Serviço;2018;417073.80
ALTAS NETWORKS & TELECOM LTDA;BELO HORIZONTE;MG;Sociedade Empresária Limitada;19/11/2002;19;DEMAIS;Serviço;2019;217627.04
AMANDA EMANUELLE SANTOS PILBELO 05975730694;BELO HORIZONTE;MG;Empresário (Individual);03/04/2019;2;NÃO INFORMADO;Material;2020;5592.89
AMARAL DANTAS COMERCIAL, OBRAS E SERVICOS LTDA;SÃO DESIDÉRIO;BA;Sociedade Empresária Limitada;22/05/2017;4;EMPRESA DE PEQUENO PORTE;Material;2018;84516.94
AMARAL DANTAS COMERCIAL, OBRAS E SERVICOS LTDA;SÃO DESIDÉRIO;BA;Sociedade Empresária Limitada;22/05/2017;4;EMPRESA DE PEQUENO PORTE;Material;2019;124859.48
AMAZON DOCUMENTOS E TECNOLOGIA DA INFORMACAO LTDA;BELÉM;PA;Sociedade Empresária Limitada;19/07/2002;19;NÃO INFORMADO;Serviço;2018;155567.43
AMAZON DOCUMENTOS E TECNOLOGIA DA INFORMACAO LTDA;BELÉM;PA;Sociedade Empresária Limitada;19/07/2002;19;NÃO INFORMADO;Serviço;2019;875455.50
AMAZON INFORMATICA LTDA;BELÉM;PA;Sociedade Empresária Limitada;03/08/1995;26;DEMAIS;Serviço;2020;1241322.06
AMENDE COMERCIO E AUTOMACAO DE EQUIPAMENTOS EDUCACIONAIS LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;06/11/2007;14;EMPRESA DE PEQUENO PORTE;Serviço;2020;27284.23
CRISTALSOLUTION CONSULTORIA EM QUALIDADE LIMITADA;VILA VELHA;ES;Sociedade Empresária Limitada;03/11/2003;18;DEMAIS;Serviço;2019;54687.16
CRISTIANE FERNANDES PARMAGNANI VARGAS - COMERCIO DE ARTIGOS PARA DECORACAO;CURITIBA;PR;Empresário (Individual);13/09/2018;3;NÃO INFORMADO;Material;2018;216.31
CRISTIANE FERNANDES PARMAGNANI VARGAS - COMERCIO DE ARTIGOS PARA DECORACAO;CURITIBA;PR;Empresário (Individual);13/09/2018;3;NÃO INFORMADO;Material;2019;510.00
CRONO COMERCIO E DISTRIBUICAO EIRELI;GOIÂNIA;GO;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);06/03/2015;6;EMPRESA DE PEQUENO PORTE;Material;2020;622761.38
CRONO SOLUCOES EM TECNOLOGIA, SERVICOS E COMERCIO LTDA;BRASÍLIA;DF;Sociedade Empresária Limitada;14/11/2016;5;EMPRESA DE PEQUENO PORTE;Material;2019;46141.35
CRT CONSTRUTORA LTDA.;BOA VISTA;RR;Sociedade Empresária Limitada;22/07/2011;10;NÃO INFORMADO;Material;2018;18465.56
CSF SERVICOS DIGITAIS LTDA;SÃO LUÍS;MA;Sociedade Empresária Limitada;17/07/2007;14;DEMAIS;Serviço;2020;815861.47
CTY INFORMATICA LTDA;RIO DE JANEIRO;RJ;Sociedade Empresária Limitada;17/08/1999;22;NÃO INFORMADO;Serviço;2019;49690.00
